"","age","color","miles","sleep","credits","status","semester","height","send","receive","gender"
"1",25,"green",12,7,10,2,1,64,10,15,"Female"
"2",24,"orange",0,9,12,2,1,64,15,15,"Female"
"3",40,"blue",8,6,12,2,1,67,10,10,"Female"
"4",22,"blue",25,NA,12,1,1,72,5,15,"Female"
"5",22,"pink",10,7,12,1,1,62,2,25,"Female"
"6",22,"fushia",0,9,13,1,1,67,3,5,"Female"
"7",33,"purple",0,7,13,2,1,66,1,5,"Female"
"8",34,"blue",0,7,13,2,1,67,10,5,"Female"
"9",27,"blue",0,7,13,1,1,71,15,5,"Male"
"10",22,"green",0,8,14,1,1,74,25,10,"Male"
"11",21,"sunset",0,8,15,1,1,68,50,100,"Female"
"12",19,"pink",300,7.5,15,1,1,62,45,15,"Female"
"13",21,"purple",20,7,15,1,1,66,25,20,"Female"
"14",24,"blue",10,7,15,1,1,78,20,50,"Male"
"15",25,"orange",0,6.5,15,1,1,66,10,20,"Female"
"16",20,"blue",0,8,15,1,1,66,15,15,"Female"
"17",35,"cobalt b",10,7,16,1,1,64,5,10,"Female"
"18",20,"purple",60,6,16,1,1,67,10,10,"Female"
"19",24,"purple",4,8,16,1,1,66,10,10,"Female"
"20",21,"green",8,6,16,1,1,66,3,10,"Female"
"21",21,"pink",0,7,17,1,1,64,5,19,"Female"
"22",20,"green",1,6,17,1,1,68,4,19,"Female"
"23",21,"green",0,6,17,1,1,63,6,11,"Female"
"24",21,"red",25,8,17,1,1,67,9,25,"Female"
"25",19,"green",0,5,17,1,1,67,8,20,"Female"
"26",21,"blue",0,NA,18,1,1,68,2,10,"Female"
"27",22,"green",2,6.5,18,1,1,64,5,5,"Female"
"28",20,"forest g",0,6,18,1,1,68,25,16,"Male"
"29",19,"blue",20,7,18,1,1,68,62,5,"Female"
"30",21,"green",0,7,18,1,1,65.5,31,30,"Female"
"31",20,"green",NA,NA,NA,1,1,64,14,10,"Female"
"32",NA,"magenta",15,6,19,1,1,64,8,20,"Female"
"33",23,"purple",0,6,19,1,1,66,7,15,"Female"
